product_name,category,total_loss,units_sold,avg_discount_pct
"Cubify CubeX 3D Printer Double Head Print",Technology,-9240,7,70.0
"GBC DocuBind P400 Electric Binding System","Office Supplies",-6859,16,76.7
"Lexmark MX611dhe Monochrome Laser Printer",Technology,-5270,16,50.0
"GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies",-5099,31,71.7
"GBC DocuBind TL300 Electric Binding System","Office Supplies",-4162,18,72.5
"Cubify CubeX 3D Printer Triple Head Print",Technology,-3840,4,50.0
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",-3432,9,80.0
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",Furniture,-3108,24,35.0
"Ibico EPK-21 Electric Binding System","Office Supplies",-2929,5,80.0
"Bush Advantage Collection Racetrack Conference Table",Furniture,-2545,25,40.8
