order_year,order_month,order_month_name,monthly_revenue,monthly_profit,orders_count
2014,1,January,14237,2450,32
2014,2,February,4520,862,28
2014,3,March,55691,499,71
2014,4,April,28295,3489,66
2014,5,May,23648,2739,69
2014,6,June,34595,4977,66
2014,7,July,33946,-841,65
2014,8,August,27909,5318,72
2014,9,September,81777,8328,130
2014,10,October,31453,3448,78
2014,11,November,78629,9292,151
2014,12,December,69546,8984,141
2015,1,January,18174,-3281,29
2015,2,February,11951,2814,36
2015,3,March,38726,9732,79
2015,4,April,34195,4188,72
2015,5,May,30132,4668,74
2015,6,June,24797,3336,68
2015,7,July,28765,3289,66
2015,8,August,36898,5356,68
2015,9,September,64596,8209,140
2015,10,October,31405,2817,87
2015,11,November,75973,12475,158
2015,12,December,74920,8017,161
2016,1,January,18543,2825,48
2016,2,February,22979,5005,45
2016,3,March,51716,3612,86
2016,4,April,38750,2978,89
2016,5,May,56988,8662,108
2016,6,June,40345,4750,97
2016,7,July,39262,4433,96
2016,8,August,31115,2062,90
2016,9,September,73410,9329,192
2016,10,October,59688,16243,105
2016,11,November,79412,4011,183
2016,12,December,96999,17885,176
2017,1,January,43971,7140,69
2017,2,February,20301,1614,53
2017,3,March,58872,14752,118
2017,4,April,36522,933,116
2017,5,May,44261,6343,118
2017,6,June,52982,8223,133
2017,7,July,45264,6953,111
2017,8,August,63121,9041,111
2017,9,September,87867,10992,226
2017,10,October,77777,9275,147
2017,11,November,118448,9690,261
2017,12,December,83829,8483,224
