product_name,category,sub_category,total_revenue,total_profit,units_sold
"Canon imageCLASS 2200 Advanced Copier",Technology,Copiers,61600,25200,20
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,27453,7753,31
"Cisco TelePresence System EX90 Videoconferencing Unit",Technology,Machines,22638,-1811,6
"HON 5400 Series Task Chairs for Big and Tall",Furniture,Chairs,21871,0,39
"GBC DocuBind TL300 Electric Binding System","Office Supplies",Binders,19823,2234,37
"GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies",Binders,19025,761,48
"Hewlett Packard LaserJet 3310 Copier",Technology,Copiers,18840,6984,38
"HP Designjet T520 Inkjet Large Format Printer - 24" Color",Technology,Machines,18375,4095,12
"GBC DocuBind P400 Electric Binding System","Office Supplies",Binders,17965,-1878,27
"High Speed Automatic Electric Letter Opener","Office Supplies",Supplies,17030,-262,11
